Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
31/03/2004,04.00.00,0.5,851.0,18.0,0.8,477.0,15.0,1699.0,26.0,1064.0,343.0,14.5,36.1,0.5928
29/03/2004,16.00.00,1.5,1012.0,128.0,5.8,801.0,94.0,1098.0,90.0,1289.0,525.0,18.0,27.1,0.5522
29/04/2004,12.00.00,2.0,1167.0,190.0,14.4,1128.0,104.0,829.0,89.0,1716.0,1040.0,25.6,25.5,0.8234
11/03/2004,05.00.00,0.7,1066.0,8.0,1.1,512.0,16.0,1918.0,28.0,1182.0,422.0,11.0,56.2,0.7366
26/03/2004,09.00.00,3.8,1408.0,592.0,19.3,1278.0,275.0,682.0,114.0,1928.0,1481.0,11.2,57.0,0.7544
11/03/2004,18.00.00,4.8,1581.0,307.0,20.8,1319.0,281.0,799.0,151.0,2083.0,1409.0,10.3,64.2,0.8065
25/03/2004,04.00.00,0.5,858.0,29.0,0.9,490.0,18.0,1707.0,28.0,1212.0,378.0,9.3,72.3,0.8496
28/04/2004,09.00.00,4.6,1592.0,658.0,24.7,1423.0,322.0,577.0,146.0,2155.0,2108.0,19.3,46.4,1.0248
25/04/2004,20.00.00,2.5,1085.0,204.0,8.2,907.0,133.0,976.0,101.0,1419.0,893.0,16.6,34.0,0.6353
30/04/2004,09.00.00,3.3,1381.0,344.0,16.6,1199.0,209.0,685.0,117.0,1970.0,1365.0,17.6,65.0,1.2945
29/04/2004,13.00.00,3.8,1398.0,516.0,22.3,1360.0,205.0,656.0,129.0,2037.0,1439.0,24.9,29.9,0.9325
30/03/2004,10.00.00,4.7,1565.0,735.0,21.0,1324.0,320.0,695.0,159.0,1872.0,1688.0,17.9,28.2,0.5741
24/04/2004,22.00.00,1.1,1007.0,64.0,3.0,650.0,53.0,1157.0,54.0,1404.0,528.0,12.9,79.7,1.1774
24/03/2004,08.00.00,3.1,1383.0,245.0,13.8,1109.0,174.0,832.0,97.0,1706.0,1173.0,11.0,57.3,0.7501
25/03/2004,20.00.00,4.6,1389.0,698.0,21.6,1341.0,231.0,692.0,133.0,1982.0,1488.0,12.6,52.5,0.7642
15/03/2004,00.00.00,1.8,1239.0,66.0,7.4,872.0,104.0,985.0,99.0,1547.0,1250.0,14.8,54.7,0.9164
07/04/2004,13.00.00,1.8,1109.0,151.0,9.1,943.0,115.0,883.0,103.0,1604.0,767.0,18.1,42.2,0.8679
17/04/2004,02.00.00,1.9,1100.0,134.0,6.4,829.0,103.0,887.0,83.0,1565.0,972.0,12.7,81.2,1.1849
10/04/2004,16.00.00,1.5,943.0,132.0,6.8,850.0,92.0,1084.0,91.0,1296.0,544.0,22.1,21.3,0.5605
27/03/2004,22.00.00,1.6,1108.0,125.0,6.8,848.0,102.0,1023.0,96.0,1421.0,1003.0,11.8,50.8,0.7042
23/03/2004,11.00.00,3.0,1308.0,325.0,15.5,1166.0,220.0,792.0,131.0,1794.0,1236.0,12.8,55.8,0.821
23/04/2004,22.00.00,2.2,1294.0,208.0,13.0,1083.0,121.0,770.0,108.0,1687.0,1321.0,19.2,44.9,0.9875
02/04/2004,17.00.00,3.7,1382.0,588.0,19.7,1288.0,185.0,778.0,138.0,1799.0,1212.0,26.9,22.3,0.7792
17/03/2004,18.00.00,5.0,1557.0,386.0,27.0,1478.0,299.0,793.0,158.0,1981.0,1569.0,25.9,16.0,0.5237
14/03/2004,06.00.00,1.0,1076.0,29.0,2.5,618.0,44.0,1395.0,63.0,1333.0,872.0,11.6,62.2,0.8473
28/04/2004,22.00.00,1.4,1146.0,156.0,8.6,923.0,79.0,845.0,96.0,1575.0,1166.0,19.6,49.8,1.1221
10/04/2004,07.00.00,1.7,1081.0,157.0,8.2,906.0,150.0,895.0,72.0,1591.0,1024.0,11.0,71.0,0.9279
27/03/2004,15.00.00,1.9,1046.0,150.0,7.6,883.0,113.0,1051.0,101.0,1357.0,765.0,17.8,28.4,0.5737
13/03/2004,21.00.00,4.2,1621.0,269.0,18.3,1247.0,283.0,762.0,159.0,1860.0,1886.0,15.3,46.8,0.8091
10/04/2004,21.00.00,2.0,1110.0,168.0,8.2,909.0,125.0,916.0,115.0,1487.0,984.0,13.2,50.3,0.7577
23/03/2004,15.00.00,1.9,1112.0,136.0,10.1,980.0,131.0,924.0,99.0,1589.0,900.0,14.1,49.8,0.7971
27/03/2004,09.00.00,1.8,1163.0,128.0,8.5,919.0,128.0,922.0,84.0,1530.0,1076.0,11.1,50.5,0.6654
10/04/2004,12.00.00,1.8,1032.0,166.0,7.8,892.0,101.0,973.0,87.0,1457.0,756.0,20.6,30.0,0.7213
25/03/2004,19.00.00,5.2,1443.0,797.0,24.6,1418.0,253.0,666.0,141.0,2060.0,1454.0,13.4,47.8,0.7293
14/03/2004,19.00.00,4.6,1808.0,262.0,20.6,1312.0,261.0,753.0,157.0,1993.0,1698.0,18.4,41.7,0.8732
25/04/2004,11.00.00,0.9,862.0,71.0,2.7,635.0,58.0,1320.0,58.0,1193.0,393.0,17.2,35.0,0.6789
16/03/2004,02.00.00,0.8,968.0,29.0,2.8,640.0,43.0,1320.0,61.0,1386.0,867.0,14.8,59.2,0.9879
16/03/2004,12.00.00,3.3,1452.0,283.0,18.3,1250.0,217.0,776.0,154.0,1868.0,1583.0,24.4,27.4,0.8231
29/04/2004,09.00.00,3.5,1408.0,475.0,18.0,1241.0,250.0,648.0,135.0,1886.0,1711.0,18.6,47.8,1.0143
28/03/2004,04.00.00,1.3,1010.0,96.0,5.1,769.0,77.0,1110.0,69.0,1396.0,895.0,8.3,64.9,0.7124
25/03/2004,21.00.00,2.5,1183.0,234.0,10.3,989.0,150.0,904.0,119.0,1539.0,1205.0,12.2,53.2,0.7555
10/03/2004,18.00.00,2.6,1360.0,150.0,11.9,1046.0,166.0,1056.0,113.0,1692.0,1268.0,13.6,48.9,0.7578
30/04/2004,16.00.00,4.0,1524.0,365.0,18.0,1239.0,210.0,644.0,114.0,2139.0,1404.0,20.9,60.8,1.4852
11/04/2004,17.00.00,1.2,935.0,65.0,3.3,672.0,65.0,1299.0,61.0,1183.0,415.0,19.6,27.4,0.6162
26/04/2004,08.00.00,2.1,1033.0,235.0,8.9,934.0,134.0,917.0,89.0,1490.0,844.0,15.0,41.7,0.7093
10/04/2004,14.00.00,1.3,883.0,108.0,5.1,766.0,90.0,1152.0,81.0,1238.0,498.0,19.8,23.1,0.5283
07/04/2004,19.00.00,3.1,1262.0,345.0,14.5,1133.0,157.0,774.0,129.0,1748.0,1033.0,11.3,71.3,0.9514
27/03/2004,16.00.00,2.2,1147.0,188.0,11.8,1042.0,122.0,934.0,108.0,1538.0,830.0,18.7,26.0,0.5555
16/04/2004,18.00.00,5.2,1529.0,575.0,20.4,1309.0,270.0,627.0,141.0,2083.0,1385.0,14.0,76.3,1.2166
16/03/2004,01.00.00,1.2,1074.0,49.0,5.4,784.0,79.0,1098.0,88.0,1483.0,1040.0,14.8,60.6,1.0148
25/03/2004,11.00.00,1.6,1066.0,116.0,6.8,849.0,130.0,1039.0,98.0,1468.0,829.0,11.0,64.4,0.8447
13/04/2004,07.00.00,3.9,1496.0,524.0,19.1,1272.0,328.0,667.0,130.0,2011.0,1399.0,11.0,64.2,0.8398
05/04/2004,18.00.00,4.1,1543.0,710.0,19.8,1290.0,194.0,631.0,132.0,2011.0,1353.0,19.7,45.4,1.0312
06/04/2004,10.00.00,2.9,1329.0,470.0,14.1,1119.0,182.0,707.0,107.0,1823.0,1288.0,19.6,41.8,0.9407
27/03/2004,12.00.00,1.9,1071.0,176.0,9.0,940.0,111.0,994.0,93.0,1449.0,756.0,17.6,30.1,0.6013
29/03/2004,10.00.00,1.5,975.0,97.0,5.6,793.0,119.0,1133.0,97.0,1254.0,637.0,13.9,33.2,0.5222
12/04/2004,14.00.00,0.7,917.0,42.0,1.7,563.0,58.0,1415.0,60.0,1257.0,423.0,10.7,67.6,0.8703
17/03/2004,09.00.00,6.6,1852.0,534.0,36.4,1696.0,377.0,553.0,127.0,2535.0,1931.0,14.1,50.0,0.802
13/04/2004,18.00.00,4.6,1442.0,669.0,21.5,1337.0,243.0,630.0,134.0,2004.0,1523.0,15.3,46.8,0.8074
24/04/2004,01.00.00,2.6,1349.0,251.0,13.4,1097.0,148.0,707.0,100.0,1763.0,1442.0,16.1,57.4,1.0451
27/04/2004,16.00.00,2.2,1145.0,259.0,12.5,1066.0,120.0,903.0,99.0,1592.0,885.0,27.2,22.1,0.7811
14/04/2004,02.00.00,0.7,900.0,66.0,2.7,635.0,47.0,1207.0,60.0,1307.0,836.0,11.1,63.2,0.8331
31/03/2004,16.00.00,2.3,1224.0,278.0,10.1,980.0,152.0,850.0,111.0,1637.0,1055.0,15.7,50.9,0.8997
27/03/2004,06.00.00,0.9,935.0,25.0,2.4,615.0,54.0,1373.0,59.0,1250.0,717.0,6.3,66.6,0.641
13/04/2004,08.00.00,4.5,1452.0,657.0,22.1,1354.0,282.0,620.0,128.0,2057.0,1501.0,12.0,58.1,0.8138
28/03/2004,22.00.00,1.1,960.0,65.0,3.2,666.0,63.0,1266.0,80.0,1224.0,544.0,11.9,46.5,0.6449
29/03/2004,01.00.00,0.6,818.0,27.0,1.3,524.0,21.0,1588.0,31.0,1071.0,341.0,10.7,45.8,0.5895
08/04/2004,20.00.00,4.3,1319.0,544.0,15.8,1172.0,232.0,746.0,136.0,1699.0,1425.0,15.8,39.8,0.7096
12/03/2004,21.00.00,4.4,1598.0,333.0,20.1,1299.0,274.0,752.0,149.0,1941.0,1627.0,12.1,53.3,0.7536
30/03/2004,19.00.00,2.7,1334.0,301.0,11.9,1047.0,129.0,815.0,106.0,1638.0,1038.0,15.9,42.0,0.7541
31/03/2004,18.00.00,2.8,1312.0,322.0,11.8,1041.0,121.0,821.0,103.0,1712.0,1073.0,15.5,50.8,0.8881
24/04/2004,05.00.00,0.7,933.0,65.0,3.7,697.0,71.0,1045.0,65.0,1403.0,937.0,14.8,57.7,0.9644
26/03/2004,21.00.00,1.5,1001.0,97.0,6.0,811.0,99.0,1097.0,91.0,1308.0,778.0,9.8,50.8,0.6172
23/03/2004,22.00.00,1.3,1000.0,81.0,5.3,776.0,81.0,1141.0,96.0,1375.0,896.0,12.0,54.9,0.7664
01/05/2004,00.00.00,3.5,1425.0,275.0,15.2,1155.0,185.0,709.0,110.0,1936.0,1789.0,17.8,66.8,1.346
24/04/2004,23.00.00,1.3,1004.0,71.0,3.2,667.0,68.0,1157.0,69.0,1365.0,492.0,11.5,76.9,1.0436
15/03/2004,16.00.00,2.3,1318.0,141.0,11.5,1033.0,143.0,950.0,99.0,1675.0,1068.0,24.4,29.4,0.8848
13/03/2004,12.00.00,3.6,1451.0,210.0,14.0,1117.0,239.0,875.0,161.0,1679.0,1387.0,18.4,33.8,0.709
15/04/2004,14.00.00,4.0,1418.0,542.0,19.5,1282.0,231.0,681.0,129.0,1890.0,1418.0,19.2,35.7,0.7826
06/04/2004,15.00.00,1.9,1096.0,220.0,9.2,947.0,115.0,872.0,113.0,1519.0,684.0,18.6,36.9,0.7829
15/03/2004,09.00.00,8.1,1961.0,618.0,36.7,1701.0,478.0,537.0,149.0,2665.0,2184.0,14.8,54.3,0.9076
08/04/2004,09.00.00,4.2,1435.0,585.0,19.1,1271.0,300.0,676.0,130.0,1885.0,1569.0,13.0,54.2,0.809
27/04/2004,07.00.00,4.1,1518.0,584.0,23.4,1389.0,314.0,589.0,122.0,2101.0,1703.0,15.9,48.5,0.8704
14/04/2004,00.00.00,1.1,1047.0,74.0,4.9,760.0,64.0,1032.0,74.0,1379.0,1003.0,11.5,61.4,0.8303
23/04/2004,12.00.00,3.3,1349.0,541.0,20.1,1299.0,179.0,728.0,142.0,1838.0,1402.0,29.7,20.6,0.8478
23/03/2004,06.00.00,0.5,909.0,26.0,1.8,567.0,33.0,1542.0,47.0,1287.0,418.0,9.6,75.4,0.9004
28/03/2004,19.00.00,1.9,1114.0,155.0,6.2,823.0,93.0,1068.0,94.0,1357.0,671.0,14.1,40.2,0.6438
06/04/2004,04.00.00,0.5,908.0,39.0,1.8,569.0,24.0,1303.0,35.0,1360.0,526.0,14.1,61.6,0.9883
08/04/2004,08.00.00,5.1,1512.0,802.0,27.1,1482.0,308.0,596.0,118.0,2189.0,1605.0,9.9,64.3,0.7859
29/04/2004,17.00.00,4.9,1560.0,651.0,24.8,1424.0,247.0,579.0,143.0,2176.0,1688.0,20.8,45.3,1.1016
17/03/2004,14.00.00,2.6,1389.0,152.0,13.7,1108.0,161.0,887.0,123.0,1712.0,1334.0,25.9,25.9,0.8503
16/03/2004,11.00.00,4.1,1571.0,327.0,20.0,1297.0,314.0,730.0,162.0,1973.0,1729.0,21.4,33.3,0.8417
23/04/2004,07.00.00,4.0,1490.0,452.0,22.6,1368.0,244.0,627.0,95.0,2119.0,1541.0,14.0,58.0,0.9202
26/04/2004,21.00.00,1.6,1017.0,99.0,6.7,842.0,89.0,1000.0,101.0,1441.0,846.0,17.3,38.8,0.7596
23/03/2004,12.00.00,2.7,1209.0,267.0,13.4,1097.0,207.0,837.0,129.0,1746.0,1147.0,13.1,54.8,0.8234
12/04/2004,04.00.00,0.3,753.0,9.0,0.7,462.0,16.0,1822.0,25.0,955.0,274.0,13.9,30.9,0.4868
13/03/2004,01.00.00,1.9,1196.0,67.0,7.4,873.0,139.0,1071.0,97.0,1463.0,1144.0,9.1,63.9,0.7423
07/04/2004,22.00.00,1.3,1020.0,70.0,4.3,727.0,81.0,1153.0,85.0,1391.0,631.0,9.3,75.2,0.8796
06/04/2004,05.00.00,0.8,980.0,62.0,3.4,677.0,73.0,1141.0,64.0,1435.0,659.0,14.6,58.8,0.9711
30/04/2004,14.00.00,2.6,1310.0,210.0,15.4,1160.0,153.0,695.0,94.0,1939.0,1224.0,21.4,50.9,1.2823
