PT08.S1(CO),PT08.S2(NMHC),PT08.S4(NO2),T,RH,AH,Hour,DayOfWeek,NOx(GT)
1253.0,988.0,1292.0,16.1,36.3,0.6593,14,2,285.0
1050.0,909.0,1055.0,4.1,49.8,0.4117,9,4,342.0
1206.0,1185.0,1751.0,19.7,65.1,1.4769,20,0,376.0
1104.0,993.0,1539.0,31.0,29.1,1.2885,10,1,170.0
1433.0,1518.0,1973.0,19.0,47.8,1.0434,9,2,693.0
1096.0,1078.0,1600.0,37.4,18.1,1.1467,17,3,115.0
970.0,870.0,1376.0,27.5,30.9,1.1155,2,6,141.0
1105.0,905.0,1576.0,21.2,67.7,1.6848,20,6,239.0
886.0,774.0,1486.0,20.9,57.4,1.4037,2,6,141.0
1152.0,1102.0,1868.0,33.5,27.2,1.3859,11,3,157.0
892.0,639.0,1359.0,16.5,50.1,0.9331,2,2,41.0
1173.0,1322.0,1679.0,20.8,32.5,0.7873,19,0,490.0
1092.0,811.0,1129.0,5.0,76.5,0.6728,1,0,191.0
1171.0,1045.0,1291.0,24.5,23.1,0.6968,14,2,322.0
1600.0,1492.0,2160.0,24.7,58.7,1.8001,20,3,486.0
1216.0,1136.0,1737.0,31.7,28.1,1.2912,20,0,128.0
1085.0,820.0,1325.0,18.1,30.6,0.6295,16,1,99.0
766.0,523.0,1310.0,12.6,72.2,1.0503,2,3,19.0
1281.0,1053.0,1192.0,10.9,39.7,0.5166,17,5,510.0
1707.0,1637.0,2338.0,24.2,54.3,1.6117,19,4,141.0
941.0,814.0,1592.0,27.5,41.3,1.4962,1,1,52.0
1137.0,856.0,1032.0,8.1,49.9,0.5417,22,3,264.0
1053.0,895.0,1446.0,17.2,48.6,0.9768,18,3,534.0
993.0,813.0,1413.0,19.9,67.5,1.5544,1,5,132.0
932.0,708.0,1285.0,20.7,48.4,1.1663,6,5,141.0
1278.0,1147.0,1536.0,18.2,52.6,1.0911,20,2,438.0
1527.0,1664.0,2238.0,23.8,29.5,0.8559,19,3,141.0
786.0,642.0,1270.0,20.2,47.1,1.1021,5,1,39.0
952.0,787.0,1342.0,25.7,35.8,1.16,21,0,141.0
1127.0,1041.0,1830.0,26.5,44.8,1.528,0,6,120.0
969.0,835.0,1437.0,22.7,53.7,1.458,0,4,97.0
1012.0,824.0,1612.0,31.0,42.9,1.8909,9,3,31.0
964.0,947.0,1328.0,23.7,29.6,0.8537,11,0,327.0
791.0,638.0,1389.0,18.6,67.4,1.4302,6,6,141.0
1018.0,1024.0,1400.0,18.1,39.9,0.8232,21,0,345.0
718.0,500.0,914.0,10.4,53.7,0.6749,2,6,63.0
1039.0,1069.0,1646.0,37.1,17.7,1.094,15,3,138.0
1034.0,928.0,1619.0,12.1,68.6,0.964,3,6,141.0
1221.0,1145.0,1753.0,34.7,23.3,1.2653,19,1,96.0
997.0,933.0,1612.0,26.7,36.4,1.2596,9,5,89.0
1244.0,1301.0,1801.0,29.4,21.0,0.8452,17,3,141.0
1236.0,962.0,1532.0,15.8,40.4,0.7228,18,1,117.0
1200.0,847.0,1297.0,13.6,63.4,0.9794,0,6,273.0
1023.0,822.0,1585.0,27.9,41.6,1.5425,2,4,65.0
1360.0,1392.0,1458.0,7.8,49.0,0.5191,13,0,896.0
1308.0,1193.0,1193.0,23.6,27.5,0.7913,17,3,163.0
1053.0,895.0,1446.0,17.2,48.6,0.9768,20,4,191.0
1267.0,1260.0,1776.0,16.2,75.9,1.3872,7,1,383.0
1030.0,899.0,1275.0,17.7,51.5,1.0357,19,5,234.0
1175.0,945.0,1604.0,14.7,57.6,0.9573,22,4,143.0
1108.0,783.0,1115.0,6.0,70.1,0.6577,15,3,272.0
1314.0,1325.0,2143.0,26.4,50.8,1.7166,8,2,204.0
902.0,568.0,1253.0,9.1,68.1,0.789,2,3,38.0
861.0,716.0,921.0,11.7,34.4,0.4712,11,3,141.0
1242.0,921.0,1219.0,8.1,72.1,0.7798,3,2,141.0
867.0,613.0,817.0,19.3,22.3,0.495,12,5,134.0
1009.0,710.0,974.0,4.4,63.9,0.5385,4,5,191.0
960.0,582.0,1062.0,11.1,66.1,0.8738,2,1,90.0
1053.0,671.0,1137.0,10.6,66.1,0.8444,8,5,132.0
1202.0,1058.0,1623.0,20.0,69.6,1.607,11,0,416.0
1515.0,1298.0,1706.0,8.9,76.5,0.8767,9,2,822.0
1046.0,872.0,1479.0,16.4,77.1,1.4243,21,3,141.0
1237.0,1332.0,2157.0,25.2,42.9,1.3552,9,4,274.0
951.0,568.0,888.0,6.4,50.7,0.4886,7,4,128.0
1006.0,765.0,1239.0,15.6,61.7,1.0847,4,5,174.0
864.0,621.0,1286.0,18.4,73.8,1.5463,2,4,65.0
1199.0,1156.0,1958.0,18.5,70.3,1.4826,9,1,227.0
1053.0,895.0,1446.0,17.2,48.6,0.9768,1,1,167.0
984.0,998.0,1523.0,25.9,23.6,0.7771,12,4,134.0
865.0,566.0,797.0,4.0,52.9,0.4338,1,0,111.0
1251.0,1264.0,1677.0,16.5,58.8,1.0921,20,4,470.0
814.0,606.0,1131.0,23.0,33.0,0.9184,3,3,141.0
1070.0,852.0,1639.0,28.1,48.0,1.7933,22,1,97.0
1008.0,878.0,1691.0,29.3,50.2,2.0127,21,3,53.0
1611.0,1552.0,2371.0,34.9,29.3,1.611,19,3,317.0
1215.0,1116.0,1715.0,31.6,21.0,0.959,15,2,116.0
1180.0,846.0,1206.0,14.2,51.5,0.8313,11,5,246.0
1119.0,778.0,1187.0,9.9,68.9,0.8388,2,0,192.0
1141.0,902.0,1672.0,12.5,79.6,1.1538,7,5,141.0
1766.0,1720.0,1881.0,9.1,53.8,0.6216,19,0,1345.0
962.0,858.0,1613.0,24.8,39.1,1.2039,10,0,118.0
1032.0,826.0,1627.0,25.0,49.2,1.5418,6,3,58.0
941.0,621.0,1330.0,13.0,56.8,0.8444,2,1,51.0
1149.0,1124.0,1141.0,8.9,26.9,0.3069,20,1,410.0
1172.0,783.0,1380.0,7.8,67.5,0.7173,3,5,141.0
1822.0,1686.0,2077.0,15.5,61.2,1.067,17,4,1134.0
1147.0,999.0,1788.0,34.7,32.1,1.741,11,1,176.0
880.0,618.0,893.0,3.1,59.7,0.4604,5,1,125.0
888.0,652.0,833.0,2.9,48.7,0.3706,11,5,150.0
1009.0,875.0,1738.0,26.4,53.1,1.7987,6,2,81.0
1086.0,1070.0,1423.0,33.0,20.1,0.9959,14,4,276.0
854.0,700.0,1151.0,17.0,52.3,1.0009,4,6,98.0
927.0,930.0,1522.0,23.6,33.8,0.9685,0,2,108.0
979.0,946.0,1018.0,14.6,24.6,0.4054,19,5,323.0
969.0,636.0,1309.0,14.0,51.3,0.8163,1,1,47.0
891.0,790.0,1466.0,18.6,45.8,0.9723,6,5,74.0
944.0,814.0,1489.0,37.2,23.6,1.4764,14,2,141.0
1185.0,1243.0,1689.0,23.2,39.9,1.1172,15,4,141.0
1268.0,1148.0,1776.0,16.8,44.3,0.8428,18,1,159.0
1034.0,935.0,1605.0,13.7,65.8,1.0254,20,3,122.0
1145.0,938.0,1376.0,15.2,64.2,1.0983,21,1,340.0
1138.0,967.0,1332.0,15.6,56.2,0.9876,13,2,317.0
1192.0,976.0,1290.0,7.3,70.0,0.7195,17,0,335.0
1043.0,776.0,1248.0,14.5,63.0,1.0319,7,4,198.0
790.0,590.0,1257.0,23.8,44.8,1.3061,3,3,141.0
1840.0,1852.0,2553.0,24.5,49.5,1.5022,19,2,141.0
890.0,672.0,1338.0,7.6,80.6,0.8437,3,3,141.0
1093.0,789.0,1329.0,13.4,43.2,0.6623,20,6,105.0
1432.0,1706.0,2098.0,24.7,27.9,0.8559,18,1,702.0
854.0,645.0,1399.0,22.5,60.9,1.6424,4,1,141.0
1650.0,1649.0,2345.0,23.1,35.3,0.9845,19,1,266.0
1078.0,775.0,1012.0,4.7,62.9,0.5424,0,6,230.0
1073.0,966.0,1537.0,16.6,36.7,0.6867,14,1,128.0
789.0,638.0,1309.0,15.2,53.6,0.919,4,4,141.0
1501.0,1514.0,1898.0,13.7,66.5,1.038,14,2,933.0
1170.0,1095.0,1470.0,15.2,58.4,1.0007,19,1,358.0
856.0,684.0,1368.0,28.1,34.2,1.2802,16,5,141.0
783.0,637.0,1215.0,29.8,18.4,0.7595,14,6,41.0
1358.0,1331.0,1518.0,20.2,29.3,0.686,19,3,531.0
884.0,587.0,863.0,10.7,42.8,0.5489,6,5,163.0
1034.0,805.0,1416.0,20.8,36.3,0.8775,22,6,92.0
1216.0,960.0,1662.0,17.9,56.2,1.142,23,2,87.0
1023.0,878.0,1568.0,13.5,67.8,1.042,1,4,106.0
1104.0,851.0,1101.0,4.3,82.9,0.6968,5,4,367.0
784.0,641.0,1319.0,22.2,40.6,1.0729,3,4,141.0
1166.0,1134.0,1227.0,11.1,33.3,0.4384,13,0,514.0
1378.0,1102.0,1796.0,17.9,49.4,1.0064,20,0,157.0
1040.0,882.0,1560.0,34.5,28.6,1.5393,16,1,132.0
1408.0,1321.0,2044.0,16.4,53.4,0.9863,7,2,173.0
880.0,807.0,1510.0,23.9,36.8,1.0774,18,6,79.0
942.0,791.0,1551.0,23.5,51.3,1.467,2,4,55.0
1261.0,1022.0,1407.0,17.3,53.9,1.0562,13,2,424.0
787.0,446.0,657.0,4.0,36.4,0.2989,3,0,141.0
1715.0,1728.0,2376.0,19.9,69.9,1.6036,8,2,141.0
1076.0,618.0,1333.0,11.6,62.2,0.8473,6,6,44.0
1317.0,1269.0,1446.0,14.7,38.9,0.6462,13,2,905.0
1053.0,895.0,1446.0,17.2,48.6,0.9768,22,0,277.0
848.0,689.0,1403.0,20.1,45.2,1.0538,21,6,65.0
1355.0,1198.0,1905.0,27.7,41.9,1.537,1,4,129.0
1326.0,1253.0,1479.0,8.4,54.7,0.6057,20,4,565.0
925.0,735.0,1284.0,15.4,73.2,1.2755,23,5,141.0
1010.0,769.0,1396.0,8.3,64.9,0.7124,4,6,77.0
1310.0,1259.0,1926.0,28.6,48.2,1.8616,18,1,141.0
901.0,646.0,1446.0,29.1,40.8,1.6203,13,6,37.0
1163.0,1039.0,1814.0,37.8,26.9,1.7392,15,3,118.0
1060.0,1099.0,1838.0,22.5,45.3,1.2226,23,2,122.0
1195.0,1013.0,1345.0,14.5,62.3,1.0216,22,1,355.0
1272.0,1136.0,1869.0,12.7,74.2,1.0863,16,3,209.0
1006.0,729.0,1370.0,14.5,49.4,0.8106,23,0,65.0
1196.0,1139.0,1271.0,4.6,52.1,0.4472,10,0,530.0
1243.0,1006.0,1349.0,13.7,51.9,0.8106,10,0,497.0
1452.0,1371.0,2138.0,21.9,43.3,1.1265,12,2,207.0
1089.0,916.0,1124.0,12.3,38.4,0.5488,17,4,293.0
969.0,788.0,938.0,4.2,50.8,0.4234,4,6,224.0
1094.0,1072.0,1545.0,22.0,24.0,0.6263,20,0,170.0
1193.0,1139.0,2009.0,24.5,61.3,1.8522,7,1,143.0
989.0,650.0,1171.0,13.0,70.3,1.0502,6,0,105.0
972.0,699.0,1505.0,37.3,28.8,1.8087,15,5,37.0
994.0,806.0,1580.0,25.9,52.9,1.7478,23,4,72.0
1333.0,1019.0,1275.0,7.9,70.6,0.7562,7,2,411.0
1068.0,1037.0,1567.0,22.0,28.6,0.7483,21,4,128.0
1440.0,1294.0,1879.0,23.8,54.7,1.587,11,4,522.0
854.0,572.0,788.0,1.2,51.9,0.3515,5,6,95.0
856.0,687.0,1260.0,21.9,48.3,1.2522,3,1,141.0
854.0,613.0,1515.0,16.8,81.3,1.5452,5,1,39.0
814.0,678.0,1339.0,15.5,51.7,0.9019,5,4,141.0
888.0,598.0,1156.0,10.6,48.0,0.6135,0,0,46.0
786.0,587.0,1300.0,25.3,44.3,1.4032,3,5,141.0
852.0,639.0,1204.0,16.5,71.0,1.3239,4,4,73.0
1052.0,956.0,1581.0,25.0,47.6,1.4872,22,0,141.0
896.0,809.0,1257.0,15.4,53.2,0.9246,9,2,286.0
754.0,620.0,1372.0,16.3,59.8,1.1042,4,1,44.0
986.0,785.0,1173.0,10.0,76.2,0.9332,7,5,225.0
1185.0,807.0,1051.0,5.0,66.3,0.5811,3,5,141.0
847.0,645.0,1364.0,20.7,43.4,1.047,18,6,71.0
945.0,886.0,1307.0,18.0,46.1,0.9401,12,2,141.0
1102.0,1007.0,1534.0,39.2,16.4,1.1439,13,0,120.0
1252.0,1233.0,1759.0,31.5,31.4,1.431,16,1,342.0
1122.0,842.0,1438.0,8.5,66.3,0.7375,7,4,132.0
1286.0,1172.0,1870.0,30.1,42.0,1.7602,11,1,141.0
1136.0,849.0,1132.0,5.4,65.8,0.5935,1,5,344.0
961.0,939.0,1508.0,34.5,18.9,1.0168,11,5,118.0
1060.0,851.0,1673.0,14.5,78.3,1.2851,6,2,108.0
1257.0,1126.0,1599.0,19.1,64.4,1.405,21,4,361.0
913.0,701.0,1219.0,12.0,80.1,1.1231,6,0,181.0
1160.0,794.0,1356.0,14.6,77.7,1.2834,23,6,284.0
774.0,500.0,1169.0,15.8,45.2,0.8052,2,0,13.0
1014.0,804.0,1233.0,14.6,64.7,1.0677,23,0,236.0
934.0,744.0,1473.0,22.8,63.3,1.7355,1,0,141.0
792.0,674.0,810.0,12.6,23.4,0.3408,23,4,162.0
1163.0,881.0,1001.0,4.9,53.9,0.4693,3,5,141.0
1310.0,1301.0,1694.0,14.6,56.6,0.9367,16,1,496.0
841.0,711.0,1367.0,27.8,35.2,1.2968,0,0,25.0
1286.0,1214.0,1880.0,31.1,29.3,1.3055,22,2,168.0
1079.0,985.0,1465.0,15.3,56.3,0.9684,7,3,141.0
1142.0,945.0,1736.0,27.8,52.6,1.9398,22,6,73.0
1002.0,964.0,1546.0,32.9,20.1,0.9902,11,4,149.0
1048.0,787.0,1373.0,9.6,61.1,0.7323,0,4,93.0
992.0,565.0,1074.0,9.4,73.1,0.8621,7,5,121.0
992.0,800.0,1007.0,8.7,46.7,0.5249,10,0,327.0
1002.0,783.0,1623.0,20.7,81.8,1.9717,21,3,79.0
960.0,772.0,1431.0,18.4,71.6,1.4997,1,0,141.0
1384.0,1391.0,2316.0,24.7,49.5,1.5201,7,1,228.0
1277.0,1043.0,1631.0,25.0,50.1,1.563,17,6,306.0
1570.0,1617.0,2170.0,22.1,56.6,1.4851,11,1,844.0
1300.0,1221.0,1946.0,17.5,56.4,1.1175,23,3,197.0
1212.0,1149.0,1710.0,18.4,78.1,1.637,5,0,279.0
922.0,611.0,867.0,1.9,60.0,0.4276,5,5,108.0
908.0,559.0,1287.0,10.2,62.7,0.7813,4,2,44.0
1234.0,1318.0,2108.0,22.6,45.9,1.2418,9,3,243.0
857.0,653.0,1375.0,10.9,71.0,0.9249,3,2,141.0
1163.0,1027.0,1264.0,24.3,23.7,0.7119,11,0,353.0
1269.0,1005.0,1463.0,24.3,38.4,1.1503,17,5,260.0
1478.0,1357.0,1652.0,7.2,78.5,0.803,19,4,723.0
1003.0,740.0,992.0,6.7,57.4,0.5654,2,4,135.0
1216.0,1039.0,1183.0,8.6,54.3,0.606,0,6,443.0
979.0,1057.0,1473.0,22.0,37.3,0.9768,14,6,141.0
1098.0,859.0,1211.0,8.2,78.4,0.8561,1,0,362.0
1460.0,1493.0,2288.0,37.3,23.4,1.4672,18,2,277.0
1797.0,1451.0,2323.0,12.4,63.9,0.917,8,0,360.0
1088.0,1019.0,1554.0,26.3,34.1,1.1453,21,1,141.0
919.0,978.0,1180.0,13.1,38.5,0.5776,14,0,246.0
1257.0,973.0,1634.0,27.5,31.6,1.1417,17,5,90.0
1096.0,1087.0,1759.0,35.9,19.6,1.1422,12,4,120.0
800.0,615.0,1396.0,24.6,43.4,1.3248,4,1,29.0
830.0,655.0,710.0,4.1,28.6,0.2363,16,1,198.0
1141.0,996.0,1805.0,34.2,31.8,1.6837,11,3,179.0
1147.0,1073.0,1415.0,11.8,76.1,1.0516,12,3,720.0
888.0,574.0,820.0,1.4,56.8,0.3903,5,1,153.0
1030.0,880.0,1539.0,13.9,60.7,0.9597,6,2,76.0
1185.0,1006.0,1638.0,22.4,63.2,1.6878,17,6,340.0
1015.0,781.0,1595.0,23.8,55.4,1.6073,4,3,72.0
829.0,570.0,1357.0,14.2,62.9,1.0136,4,0,141.0
963.0,646.0,1181.0,14.7,66.4,1.1006,1,1,117.0
1053.0,895.0,1446.0,17.2,48.6,0.9768,20,1,275.0
1212.0,918.0,1308.0,17.5,46.0,0.9104,13,5,281.0
909.0,678.0,838.0,9.2,34.5,0.4025,12,5,180.0
929.0,668.0,1054.0,10.6,59.9,0.7674,11,2,141.0
766.0,515.0,642.0,1.0,37.4,0.2487,0,1,86.0
751.0,587.0,1353.0,18.4,53.4,1.117,2,1,43.0
1401.0,1261.0,1580.0,13.8,56.3,0.8841,14,1,527.0
1258.0,1261.0,1940.0,26.2,45.0,1.5098,9,3,406.0
1017.0,760.0,922.0,8.3,38.2,0.4203,23,3,254.0
1493.0,1337.0,1638.0,8.8,74.6,0.8434,18,4,712.0
1053.0,895.0,1446.0,17.2,48.6,0.9768,11,2,809.0
1106.0,921.0,1506.0,21.1,62.8,1.5505,0,6,141.0
1023.0,1127.0,1635.0,31.9,18.3,0.8523,17,1,206.0
771.0,652.0,1239.0,37.9,15.9,1.0296,16,6,21.0
932.0,595.0,1025.0,5.0,82.8,0.7273,5,4,120.0
1179.0,951.0,1724.0,17.3,68.3,1.3346,1,5,129.0
1074.0,954.0,1570.0,16.7,47.2,0.892,20,2,136.0
732.0,503.0,1321.0,21.0,47.1,1.1546,3,1,141.0
1100.0,1065.0,1072.0,-0.5,45.9,0.2763,9,2,479.0
867.0,625.0,1385.0,14.0,63.8,1.0167,5,0,141.0
1036.0,928.0,1787.0,21.9,60.9,1.5799,22,2,89.0
1013.0,913.0,1685.0,27.5,50.4,1.823,22,4,141.0
1167.0,1027.0,1289.0,4.8,79.0,0.6845,18,2,422.0
1156.0,1142.0,1490.0,34.9,18.5,1.0189,11,3,387.0
765.0,637.0,1113.0,15.0,52.8,0.8929,2,1,141.0
1098.0,934.0,1497.0,20.4,30.4,0.7193,16,2,141.0
901.0,586.0,979.0,13.7,47.4,0.7412,6,4,135.0
1014.0,958.0,1684.0,30.9,30.3,1.3306,16,3,117.0
951.0,642.0,929.0,12.7,40.8,0.5977,1,6,109.0
1217.0,1261.0,1941.0,26.3,43.1,1.4542,9,2,487.0
1006.0,837.0,971.0,10.9,32.6,0.426,14,4,208.0
947.0,751.0,1358.0,36.5,20.8,1.2446,14,1,141.0
1084.0,990.0,1633.0,25.0,38.3,1.198,9,5,148.0
1248.0,1197.0,1405.0,10.1,45.6,0.5632,8,1,892.0
1105.0,828.0,997.0,2.1,64.2,0.4633,3,5,141.0
971.0,786.0,1272.0,16.5,29.0,0.5406,12,0,92.0
897.0,875.0,1227.0,18.4,33.2,0.6975,21,5,223.0
888.0,640.0,1330.0,16.5,50.2,0.932,4,4,33.0
1011.0,856.0,1341.0,15.4,72.8,1.2633,3,5,141.0
868.0,596.0,1276.0,18.7,73.5,1.5664,3,4,141.0
1179.0,955.0,1571.0,10.3,66.3,0.8336,21,2,169.0
1053.0,895.0,1446.0,17.2,48.6,0.9768,13,3,82.0
1038.0,895.0,1474.0,21.2,68.6,1.7046,1,4,126.0
1083.0,951.0,1393.0,25.1,35.7,1.1222,23,4,223.0
1045.0,800.0,1193.0,14.4,57.1,0.9309,13,0,206.0
1308.0,1189.0,1325.0,7.7,49.8,0.5267,10,4,566.0
1199.0,1087.0,1954.0,27.3,51.0,1.8287,0,2,112.0
1072.0,976.0,1603.0,14.1,56.2,0.9028,21,5,141.0
831.0,506.0,1134.0,6.1,65.9,0.6248,4,4,21.0
1066.0,871.0,996.0,5.8,43.4,0.4032,11,6,326.0
1432.0,1264.0,1476.0,11.8,44.4,0.6118,14,1,660.0
893.0,701.0,1045.0,6.4,74.0,0.7134,4,3,185.0
1168.0,1138.0,1946.0,27.7,52.5,1.9138,9,0,16.0
1003.0,825.0,1716.0,26.7,60.6,2.0942,1,3,68.0
1213.0,1018.0,1778.0,13.3,76.8,1.1703,12,5,141.0
916.0,692.0,1287.0,14.5,82.1,1.3493,3,5,141.0
817.0,672.0,1501.0,20.8,54.4,1.3229,4,2,31.0
1145.0,971.0,1418.0,34.2,22.6,1.197,17,5,141.0
1689.0,1474.0,2298.0,13.9,78.0,1.2303,19,4,323.0
1078.0,704.0,1077.0,10.2,55.8,0.6927,1,5,231.0
1074.0,767.0,1489.0,24.3,61.6,1.8468,10,6,143.0
1174.0,942.0,1296.0,11.2,70.3,0.9323,2,2,381.0
939.0,687.0,981.0,18.9,33.8,0.7312,11,4,197.0
890.0,791.0,1489.0,19.8,46.0,1.0524,6,5,62.0
1345.0,1306.0,1806.0,27.5,38.1,1.3756,19,6,489.0
1126.0,886.0,1225.0,8.5,81.1,0.8989,6,1,316.0
913.0,730.0,1493.0,23.3,55.5,1.5636,5,2,47.0
1151.0,885.0,1222.0,20.0,33.0,0.7625,15,0,240.0
992.0,867.0,997.0,6.1,45.2,0.4295,23,5,256.0
1012.0,746.0,1301.0,15.6,35.0,0.617,18,6,86.0
1158.0,981.0,1573.0,31.7,19.5,0.8981,16,1,96.0
954.0,645.0,1334.0,11.6,61.9,0.8442,4,3,60.0
1037.0,1021.0,1451.0,31.7,20.3,0.9336,17,1,141.0
1310.0,1046.0,1351.0,23.1,27.3,0.7615,12,2,487.0
1053.0,895.0,1446.0,17.2,48.6,0.9768,1,2,122.0
908.0,748.0,1373.0,39.7,19.1,1.3646,16,6,69.0
1221.0,1367.0,2008.0,18.4,45.7,0.9559,8,4,141.0
895.0,622.0,804.0,10.0,35.5,0.4346,14,6,149.0
753.0,437.0,1110.0,16.3,41.0,0.7513,4,0,14.0
1132.0,996.0,1564.0,18.1,40.9,0.8441,0,6,102.0
857.0,705.0,1312.0,16.9,66.7,1.2772,5,1,105.0
891.0,633.0,1137.0,15.7,60.1,1.064,3,5,141.0
998.0,776.0,1608.0,28.5,52.1,2.0036,0,4,141.0
860.0,632.0,1322.0,17.8,72.3,1.4546,3,0,141.0
1076.0,1012.0,1665.0,40.3,16.1,1.1896,15,2,113.0
1273.0,1137.0,1563.0,20.0,58.4,1.3473,19,5,356.0
920.0,649.0,849.0,3.1,47.4,0.3661,21,5,196.0
